Player,Pairing,Number,Projected Points,Salary,Optimal
Korda,1,1,61.6,10800,0
Comesana,1,2,31.5,4500,0
Parry,2,3,58.2,10400,0
Williams,2,4,31.7,4700,0
Michelsen,3,5,58,10200,0
Merida,3,6,35.2,4800,1
Baptiste,4,7,57.4,10100,0
Arango,4,8,32.5,4900,0
Marozsan,5,9,57.7,9900,1
Bautista Agut,5,10,35.5,5200,0
Baez,6,11,57.2,9800,1
Tseng,6,12,36,5300,0
Siniakova,7,13,56.1,9600,0
Kenin,7,14,33.8,5500,0
Frech,8,15,54.4,9500,0
Hunter,8,16,35.5,5600,0
Hurkacz,9,17,55.7,9400,1
Kovacevic,9,18,37.7,5700,0
Van de Zandschulp,10,19,55.5,9200,1
Cerundolo,10,20,37.8,5800,0
Bucsa,11,21,52.8,9100,0
Vidmanova,11,22,37.2,5900,0
Valentova,12,23,51.9,9000,0
Vekic,12,24,38,6000,0
Ruzic,13,25,51.7,8800,0
Brady,13,26,38.3,6100,0
Borges,14,27,51.7,8700,0
Nava,14,28,41.7,6300,0
Gracheva,15,29,50.3,8600,0
Tagger,15,30,39.7,6500,0
Bondar,16,31,48.7,8500,0
Jacquemot,16,32,41.3,6600,0
Hijikata,17,33,49.9,8400,0
Maestrelli,17,34,43.5,6700,0
McDonald,18,35,49.2,8300,0
Arnaldi,18,36,44.2,6900,1
Fearnley,19,37,49.2,8200,0
Dzumhur,19,38,44.2,7000,0
Jodar,20,39,48.8,8100,0
Tabilo,20,40,44.5,7100,0
Volynets,21,41,47.4,7900,0
Sramkova,21,42,42.6,7200,0
Day,22,43,47,7800,0
Jones,22,44,43,7400,0
Bonzi,23,45,47.7,7700,0
Royer,23,46,45.8,7600,0
