Fighter,Pairing,Projected Points,Salary,Optimal?
Kape,1,85.6,9200,1
Royval,1,54.5,7000,1
Vallejos,2,73.5,9100,0
Chikadze,2,41.7,7100,0
Oleksiejczuk,3,71.8,8700,0
Almeida,3,45,7500,0
Costa,4,59.6,8200,0
Charriere,4,54.7,8000,0
Nzechukwu,5,59.3,8400,0
Buchecha,5,58.1,7800,0
Green,6,65.5,9000,0
Gibson Jr.,6,50.8,7200,1
Robertson,7,0,8800,0
Lemos,7,0,7400,0
Brito,8,72,9000,0
Thomson,8,44.2,7200,0
Amosov,9,79.3,9400,1
Magny,9,36.5,6800,0
Asplund,10,73.8,8900,1
Sharaf,10,43.2,7300,0
Santos,11,59.2,8500,0
Croden,11,55,7700,0
Pat,12,68,8600,0
Frye Jr.,12,49.3,7600,0
Bleda,13,65.6,8300,1
Horth,13,48.1,7900,0
